Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,10,
Horizontal Delay,0,
Sample Interval,0.01,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.000e+01,nan,nan
-4.999e+01,nan,nan
-4.998e+01,nan,nan
-4.997e+01,nan,nan
-4.996e+01,nan,nan
-4.995e+01,nan,nan
-4.994e+01,nan,nan
-4.993e+01,nan,nan
-4.992e+01,nan,nan
-4.991e+01,nan,nan
-4.990e+01,nan,nan
-4.989e+01,nan,nan
-4.988e+01,nan,nan
-4.987e+01,nan,nan
-4.986e+01,nan,nan
-4.985e+01,nan,nan
-4.984e+01,nan,nan
-4.983e+01,nan,nan
-4.982e+01,nan,nan
-4.981e+01,nan,nan
-4.980e+01,nan,nan
-4.979e+01,nan,nan
-4.978e+01,nan,nan
-4.977e+01,nan,nan
-4.976e+01,nan,nan
-4.975e+01,nan,nan
-4.974e+01,nan,nan
-4.973e+01,nan,nan
-4.972e+01,nan,nan
-4.971e+01,nan,nan
-4.970e+01,nan,nan
-4.969e+01,nan,nan
-4.968e+01,nan,nan
-4.967e+01,nan,nan
-4.966e+01,nan,nan
-4.965e+01,nan,nan
-4.964e+01,nan,nan
-4.963e+01,nan,nan
-4.962e+01,nan,nan
-4.961e+01,nan,nan
-4.960e+01,nan,nan
-4.959e+01,nan,nan
-4.958e+01,nan,nan
-4.957e+01,nan,nan
-4.956e+01,nan,nan
-4.955e+01,nan,nan
-4.954e+01,nan,nan
-4.953e+01,nan,nan
-4.952e+01,nan,nan
-4.951e+01,nan,nan
-4.950e+01,nan,nan
-4.949e+01,nan,nan
-4.948e+01,nan,nan
-4.947e+01,nan,nan
-4.946e+01,nan,nan
-4.945e+01,nan,nan
-4.944e+01,nan,nan
-4.943e+01,nan,nan
-4.942e+01,nan,nan
-4.941e+01,nan,nan
-4.940e+01,nan,nan
-4.939e+01,nan,nan
-4.938e+01,nan,nan
-4.937e+01,nan,nan
-4.936e+01,nan,nan
-4.935e+01,nan,nan
-4.934e+01,nan,nan
-4.933e+01,nan,nan
-4.932e+01,nan,nan
-4.931e+01,nan,nan
-4.930e+01,nan,nan
-4.929e+01,nan,nan
-4.928e+01,nan,nan
-4.927e+01,nan,nan
-4.926e+01,nan,nan
-4.925e+01,nan,nan
-4.924e+01,nan,nan
-4.923e+01,nan,nan
-4.922e+01,nan,nan
-4.921e+01,nan,nan
-4.920e+01,nan,nan
-4.919e+01,nan,nan
-4.918e+01,nan,nan
-4.917e+01,nan,nan
-4.916e+01,nan,nan
-4.915e+01,nan,nan
-4.914e+01,nan,nan
-4.913e+01,nan,nan
-4.912e+01,nan,nan
-4.911e+01,nan,nan
-4.910e+01,nan,nan
-4.909e+01,nan,nan
-4.908e+01,nan,nan
-4.907e+01,nan,nan
-4.906e+01,nan,nan
-4.905e+01,nan,nan
-4.904e+01,nan,nan
-4.903e+01,nan,nan
-4.902e+01,nan,nan
-4.901e+01,nan,nan
-4.900e+01,nan,nan
